Contig,Region,Genomic_start_POS,Genomic_end_POS,Distance_from_CEN_start,Distance_from_CEN_end,Distance_from_CEN_midpoint_Mb,Window_size_bp,N_sites_FST4,N_sites_FST0,Total_sites_available
3R,3R:52200685-53200684,52200685,53200684,0,1000000,0.5,1000000,2594,11296,
3R,3R:51200685-52200684,51200685,52200684,1000000,2000000,1.5,1000000,13121,53535,
3R,3R:50200685-51200684,50200685,51200684,2000000,3000000,2.5,1000000,8386,34569,
3R,3R:49200685-50200684,49200685,50200684,3000000,4000000,3.5,1000000,10742,43712,
3R,3R:48200685-49200684,48200685,49200684,4000000,5000000,4.5,1000000,11478,46164,
3R,3R:47200685-48200684,47200685,48200684,5000000,6000000,5.5,1000000,15586,61531,
3R,3R:46200685-47200684,46200685,47200684,6000000,7000000,6.5,1000000,6874,27275,
3R,3R:45200685-46200684,45200685,46200684,7000000,8000000,7.5,1000000,8172,32093,
3R,3R:44200685-45200684,44200685,45200684,8000000,9000000,8.5,1000000,7524,29111,
3R,3R:43200685-44200684,43200685,44200684,9000000,10000000,9.5,1000000,15577,58548,
3R,3R:42200685-43200684,42200685,43200684,10000000,11000000,10.5,1000000,4926,20567,
3R,3R:41200685-42200684,41200685,42200684,11000000,12000000,11.5,1000000,6292,25544,
3R,3R:40200685-41200684,40200685,41200684,12000000,13000000,12.5,1000000,154,943,
3R,3R:39200685-40200684,39200685,40200684,13000000,14000000,13.5,1000000,929,4046,
3R,3R:38200685-39200684,38200685,39200684,14000000,15000000,14.5,1000000,3935,15162,
3R,3R:37200685-38200684,37200685,38200684,15000000,16000000,15.5,1000000,10427,40318,
3R,3R:36200685-37200684,36200685,37200684,16000000,17000000,16.5,1000000,12882,50124,
3R,3R:35200685-36200684,35200685,36200684,17000000,18000000,17.5,1000000,13893,55922,
3R,3R:34200685-35200684,34200685,35200684,18000000,19000000,18.5,1000000,8453,31170,
3R,3R:33200685-34200684,33200685,34200684,19000000,20000000,19.5,1000000,7436,28262,
3R,3R:32200685-33200684,32200685,33200684,20000000,21000000,20.5,1000000,2090,8177,
3R,3R:31200685-32200684,31200685,32200684,21000000,22000000,21.5,1000000,8476,31667,
3R,3R:30200685-31200684,30200685,31200684,22000000,23000000,22.5,1000000,10926,41533,
3R,3R:29200685-30200684,29200685,30200684,23000000,24000000,23.5,1000000,4146,15604,
3R,3R:28200685-29200684,28200685,29200684,24000000,25000000,24.5,1000000,10912,40164,
X,X:23393109-24393108,23393109,24393108,0,1000000,0.5,1000000,1995,7769,
X,X:22393109-23393108,22393109,23393108,1000000,2000000,1.5,1000000,913,3779,
X,X:21393109-22393108,21393109,22393108,2000000,3000000,2.5,1000000,1008,4241,
X,X:20393109-21393108,20393109,21393108,3000000,4000000,3.5,1000000,1004,4346,
X,X:19393109-20393108,19393109,20393108,4000000,5000000,4.5,1000000,7559,26297,
X,X:18393109-19393108,18393109,19393108,5000000,6000000,5.5,1000000,8599,30246,
X,X:17393109-18393108,17393109,18393108,6000000,7000000,6.5,1000000,7663,26828,
X,X:16393109-17393108,16393109,17393108,7000000,8000000,7.5,1000000,9644,33912,
X,X:15393109-16393108,15393109,16393108,8000000,9000000,8.5,1000000,8592,29830,
X,X:14393109-15393108,14393109,15393108,9000000,10000000,9.5,1000000,7287,24942,
X,X:13393109-14393108,13393109,14393108,10000000,11000000,10.5,1000000,9597,34062,
X,X:12393109-13393108,12393109,13393108,11000000,12000000,11.5,1000000,7262,24701,
X,X:11393109-12393108,11393109,12393108,12000000,13000000,12.5,1000000,9421,33914,
X,X:10393109-11393108,10393109,11393108,13000000,14000000,13.5,1000000,7101,23410,
X,X:9393109-10393108,9393109,10393108,14000000,15000000,14.5,1000000,13600,44499,
X,X:8393109-9393108,8393109,9393108,15000000,16000000,15.5,1000000,7345,23518,
X,X:7393109-8393108,7393109,8393108,16000000,17000000,16.5,1000000,14991,49696,
X,X:6393109-7393108,6393109,7393108,17000000,18000000,17.5,1000000,11501,37169,
X,X:5393109-6393108,5393109,6393108,18000000,19000000,18.5,1000000,11395,37847,
X,X:4393109-5393108,4393109,5393108,19000000,20000000,19.5,1000000,11599,37899,
X,X:3393109-4393108,3393109,4393108,20000000,21000000,20.5,1000000,6424,21945,
X,X:2393109-3393108,2393109,3393108,21000000,22000000,21.5,1000000,12147,40663,
X,X:1393109-2393108,1393109,2393108,22000000,23000000,22.5,1000000,13791,46192,
X,X:393109-1393108,393109,1393108,23000000,24000000,23.5,1000000,15310,54171,
